Wall time,Step,Value
1726294385.5558743,83,0.0
1726295281.0832028,84,0.0
1726296102.3071957,85,0.0
1726296962.7132635,86,0.0
1726297852.7453194,87,0.0
1726298710.2907012,88,5.4413168982136995e-05
1726299546.6860867,89,0.0
1726300423.8251867,90,0.0
1726301300.5431423,91,0.0
1726302168.8867717,92,0.0
1726303042.2847695,93,0.0
1726303933.270729,94,0.0
1726304845.3599114,95,0.00011091926717199385
1726305737.3718882,96,0.00012347500887699425
1726306609.3932612,97,7.534273026976734e-05
1726307528.8343933,98,0.0
1726308434.2452364,99,0.0001297421258641407
1726309306.8235621,100,0.0
1726310169.121225,101,0.0
1726311039.2408679,102,0.0
1726311951.9960752,103,0.0
1726312900.2593532,104,0.0
1726313775.59695,105,0.0
1726314690.5977123,106,0.0
1726315598.536548,107,0.0
1726316544.9339128,108,0.0
1726317405.589179,109,0.0007070146384648979
1726318301.0876954,110,0.00011246403300901875
1726319210.9559102,111,0.0
1726320107.8169298,112,0.0
1726320980.0906296,113,6.278600631048903e-05
1726321882.5226004,114,0.0
1726322750.7916777,115,0.0
1726323589.900825,116,0.0003515048883855343
1726324406.5633192,117,0.0
1726325266.3085816,118,0.0
1726326138.2405083,119,0.0
1726326977.1600957,120,0.0
1726327814.8195207,121,0.0
1726328666.0943096,122,8.789930143393576e-05
1726329534.713554,123,0.00018206854292657226
1726330430.725951,124,0.00026991625782102346
1726331285.260464,125,0.0
1726332143.322451,126,0.0
1726332957.823118,127,0.0
1726333781.5337596,128,0.0
1726334638.8777742,129,6.278777618717868e-06
1726335434.6120644,130,0.0
1726336339.242851,131,0.0
1726337187.2420955,132,0.0
1726338039.821387,133,0.0
1726338841.3080187,134,5.022528057452291e-05
1726339692.255406,135,0.001934122876264155
1726340535.3632154,136,0.0
1726341425.381738,137,0.0009345842991024256
1726342252.6207647,138,0.0
1726343094.3477786,139,0.0006363012362271547
1726343946.3104568,140,1.6743319065426476e-05
1726344795.446968,141,0.0
1726345645.8420656,142,0.0
1726346474.9133456,143,0.0
1726347363.3778174,144,0.0
1726348218.5828862,145,5.860039163962938e-05
1726349133.9589593,146,0.0
1726349967.605801,147,0.0
1726350819.963096,148,2.9300625101313926e-05
1726351692.4649212,149,0.0
1726352568.2131543,150,0.0
1726353606.53054,151,0.0010117415804415941
1726354471.5125494,152,0.0
1726355403.624412,153,0.00029499141965061426
1726356282.149397,154,0.0
1726357162.1016243,155,0.0
1726358084.515279,156,0.0012042399030178785
1726358979.9379246,157,0.0
1726359882.9778042,158,0.00012556806905195117
1726360782.0893443,159,0.0
1726361618.7524188,160,0.0009887836640700698
1726362511.361641,161,0.0
1726363516.2430167,162,0.000238537133554928
1726364491.338465,163,0.00011717172310454771
1726365364.7463822,164,0.0005314052104949951
1726366162.6353421,165,0.0
1726367165.3115492,166,7.742577872704715e-05
1726368080.0642045,167,0.0002636234275996685
1726369009.962897,168,0.0
1726369816.5700498,169,0.0
1726370850.9312093,170,3.139224645565264e-05
1726371838.469067,171,0.0
1726372846.8458872,172,0.00025530517450533807
1726373725.956,173,0.0
1726374762.1746013,174,0.00036619495949707925
1726375678.8222067,175,0.0005145442555658519
1726376581.9661036,176,2.0703976133518154e-06
1726377515.7726777,177,0.0
1726378510.9938989,178,0.0
1726379523.169835,179,0.0
1726380496.3961391,180,0.0
1726381311.7492082,181,0.002720796037465334
1726382080.820961,182,4.185422585578635e-05
1726382890.592714,183,0.00023851492733228952
1726383696.6720452,184,0.0
1726384496.8800495,185,0.0
1726385273.6427531,186,0.0
1726386069.083718,187,0.0
1726386881.372164,188,0.0
1726387694.1182027,189,0.0
1726388489.45603,190,0.0008803249220363796
1726389283.4422555,191,0.0
1726390088.258155,192,0.0
1726390897.226358,193,0.002220543334260583
1726391696.350786,194,0.0
1726392484.004769,195,0.0
1726393295.7950423,196,0.0
1726394098.9398816,197,8.131568756652996e-05
1726394901.9398668,198,0.0019210189348086715
1726395654.2059495,199,0.0009690612205304205
1726396457.235194,200,0.0
